number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
2.0,6,2,2022.0,2.0,76.2,0,37000000.0
2.0,2,2,2018.0,3.0,62.5,3,39000000.0
5.0,5,2,2017.0,7.0,232.0,3,282000000.0
2.0,2,3,1974.0,4.0,45.0,3,27000000.0
2.0,3,1,1986.0,1.0,43.1,3,38555555.0
2.0,2,2,2007.0,5.0,56.0,1,44000000.0
3.0,5,2,2020.0,3.0,85.0,3,48500000.0
3.0,3,3,1994.0,8.0,77.2,3,56500000.0
1.0,0,2,2021.0,4.0,36.4,1,21500000.0
2.0,7,2,2021.0,3.0,54.4,3,35000000.0
2.0,3,2,2015.0,1.0,60.0,3,60000000.0
3.0,3,2,2023.0,4.0,110.0,3,140000000.0
1.0,6,2,2021.0,4.0,28.0,3,20000000.0
2.0,5,3,1970.0,4.0,45.0,1,32500000.0
2.0,0,2,2023.0,5.0,46.74,3,27900000.0
2.0,6,1,2021.0,3.0,44.0,4,16500000.0
1.0,3,2,2015.0,1.0,33.0,3,28500000.0
2.0,7,2,2016.0,12.0,65.0,3,39000000.0
1.0,1,2,2023.0,6.0,44.67,4,35500000.0
2.0,0,2,2023.0,1.0,67.0,4,29000000.0
1.0,4,2,2024.0,10.0,39.2,4,27000000.0
2.0,2,2,2015.0,9.0,48.3,1,30000000.0
2.0,5,2,2021.0,8.0,48.0,3,38800000.0
1.0,6,2,2019.0,7.0,39.6,3,24000000.0
2.0,4,3,1985.0,5.0,60.0,3,32000000.0
2.0,7,2,2022.0,7.0,52.9,3,32000000.0
4.0,3,2,2019.0,2.0,110.0,3,110000000.0
2.0,2,3,1974.0,4.0,44.0,1,25500000.0
2.0,7,1,1990.0,4.0,54.7,3,27500000.0
1.0,2,3,1963.0,1.0,31.9,3,22500000.0
1.0,0,2,2023.0,2.0,36.0,3,20000000.0
3.0,6,2,2017.0,5.0,75.0,3,43900000.0
3.0,2,3,1982.0,9.0,72.0,3,52000000.0
2.0,7,2,2020.0,9.0,54.0,3,31500000.0
1.0,3,1,1966.0,4.0,34.0,3,23200000.0
